indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
1078	Revolver Rani	2234	1600	133	Drama	0	Crouching Tiger Motion Pictures|Moving Pictures|Wave Cinemas	Kangana Ranaut|Vir Das|Piyush Mishra|Zakir Hussain	Sai Kabir	Nitin Tej Ahuja|Raju Chadha|Rahul Mittra	Sanjeev Srivastava	Puneet Sharma|Shaheen Iqbal	none	none	none
1079	Kasam	691	80	137	Action	0	Manish Films	Naseeruddin Shah|Sunny Deol|Chunky Pandey|Neelam Kothari	Shibu Mitra	Veena Sharma|Vikas Vaswani	Viju Shah	Anand Bakshi	Faiz-Saleem	Madan Joshi	none
1080	Jail	1126	575	130	Drama	0	Bhandarkar Entertainment|Percept Picture Company	Manoj Bajpai|Neil Nitin Mukesh|Mugdha Godse|Arya Babbar	Madhur Bhandarkar	Shailendra Singh|Madhur Bhandarkar	Toshi-Sharib|Shamir Tandon	Sandeep Nath|A.M. Turaz	none	none	none
1081	Blood Money	21	1150	113	Thriller	0	Viacom 18 Motion Pictures|Vishesh Films Pvt. Ltd.	Kunal Khemu|Amrita Puri|Manish Chaudhary|Shekhar Shukla	Vishal Mahadkar	Mahesh Bhatt	Pranay Rijia|Sangeet-Siddharth|Jeet Ganguly	Kumaar|Sayeed Quadri	none	none	none
1082	Dhoondte Reh Jaoge	789	625	130	Comedy	0	UTV Motion Pictures	Paresh Rawal|Kunal Khemu|Sonu Sood|Soha Ali Khan	Umesh Shukla	Ronnie Screwvala	Sajid Wajid	Shabbir Ahmed|Jalees Sherwani	Umesh Shukla|Rajeev Jhaveri	none	none
1083	"I, Me Aur Main"	1257	975	108	Romance	0	Pollen Entertainment Pvt. Ltd.|Reliance Entertainment|Rose Movies	John Abraham|Chitrangda Singh|Prachi Desai|Zarina Wahab	Kapil Sharma	John Abraham|Koyal|Goldie Behl	Pritam|Sachin-Jigar|Gourov Dasgupta	none	none	none	none
1084	Hawas	1179	85	124	Thriller	0	Evershine Films	Shawar Ali|Meghna Naidu|Tarun Arora|Mukesh Tiwari	Karan Razdan	none	Daboo Malik	Praveen Bhardwaj	Karan Razdan	Karan Razdan	Karan Razdan
1085	Section 375	5708	850	124	Drama	0	Panorama Studios|T-Series	Akshaye Khanna|Richa Chaddha|Rahul Bhatt|Meera Chopra	Ajay Bahl	Abhishek Pathak|Kumar Mangat	none	none	Manish Gupta	Manish Gupta|Ajai Sinha|Ajay Bahl	none
1086	Meri Pyaari Bindu	3525	750	119	Romance	0	Yash Raj Films	Ayushman Khurana|Parineeti Chopra|Prakash Belawadi|Rajatava Datta	Akshay Roy	Maneesh Sharma	Sachin-Jigar	Kausar Munir|Priya Saraiya	"Suprotim Sengupta	"	Soumik Sen	none
1087	Aaya Toofan	2383	90	117	Action	0	Titwala Productions	Mithun Chakraborty|Aditya Pancholi|Gulshan Grover|Hemant Birje	Deepak Balraj Vij	Rishikesh Dhari Sinha	Bappi Lahiri| Lyrics|Sameer	none	Meeraq Mirza	Meeraq Mirza	Meeraq Mirza
